0000,5
0001,7
0002,8
0003,6
0004,7
0005,7
0006,5
0007,8
0008,6
0009,8
0010,7
0011,7
0012,6
0013,7
0014,6
0015,6
0016,5
0017,7
0018,6
0019,6
0020,8
0021,6
0022,7
0023,8
0024,6
0025,7
0026,5
0027,7
0028,6
0029,6
0030,7
0031,6
0032,7
0033,7
0034,6
0035,5
0036,7
0037,8
0038,7
0039,8
0040,7
0041,8
0042,7
0043,7
0044,6
0045,7
0046,8
0047,6
0048,6
0049,8
0050,8
0051,6
0052,6
0053,6
0054,7
0055,7
0056,7
0057,6
0058,6
0059,6
0060,7
0061,7
0062,6
0063,7
0064,7
0065,6
0066,6
0067,6
0068,8
0069,8
0070,7
0071,7
0072,6
0073,7
0074,7
0075,5
0076,6
0077,7
0078,6
0079,8
0080,7
0081,6
0082,7
0083,6
0084,8
0085,7
0086,6
0087,6
0088,7
0089,8
0090,5
0091,6
0092,8
0093,7
0094,7
0095,8
0096,8
0097,7
0098,7
0099,7
